time,plasma conc,CE_SI,CE_alpha,CE_beta,CE_LZc
780,0.017855548,0.019519768,0.022346081,0.019822272,0.021147189
782,0.017786422,0.019443381,0.022258072,0.01974456,0.021063763
784,0.017717595,0.019367327,0.022170434,0.019667187,0.0209807
786,0.017649068,0.019291605,0.022083164,0.019590152,0.020897997
788,0.017580838,0.019216213,0.021996262,0.019513453,0.020815654
790,0.017512904,0.01914115,0.021909726,0.019437088,0.020733668
792,0.017445265,0.019066414,0.021823555,0.019361057,0.020652039
794,0.01737792,0.018992004,0.021737746,0.019285357,0.020570764
796,0.017310867,0.018917918,0.0216523,0.019209987,0.020489842
798,0.017244104,0.018844154,0.021567214,0.019134946,0.020409271
800,0.017177632,0.018770713,0.021482488,0.019060232,0.020329051
802,0.017111447,0.018697591,0.021398119,0.018985844,0.020249179
804,0.01704555,0.018624787,0.021314107,0.018911779,0.020169653
806,0.016979938,0.0185523,0.02123045,0.018838038,0.020090474
808,0.016914611,0.018480129,0.021147146,0.018764618,0.020011638
810,0.016849566,0.018408272,0.021064195,0.018691517,0.019933144
812,0.016784804,0.018336728,0.020981595,0.018618735,0.019854992
814,0.016720322,0.018265495,0.020899345,0.018546269,0.019777178
816,0.016656119,0.018194572,0.020817443,0.018474119,0.019699703
818,0.016592194,0.018123957,0.020735888,0.018402283,0.019622564
820,0.016528546,0.018053649,0.020654678,0.01833076,0.01954576
822,0.016465174,0.017983647,0.020573813,0.018259547,0.019469289
824,0.016402076,0.017913949,0.02049329,0.018188645,0.01939315
826,0.01633925,0.017844554,0.02041311,0.018118051,0.019317342
828,0.016276697,0.017775461,0.020333269,0.018047763,0.019241863
830,0.016214414,0.017706667,0.020253767,0.017977782,0.019166711
832,0.0161524,0.017638173,0.020174602,0.017908104,0.019091885
834,0.016090654,0.017569976,0.020095774,0.01783873,0.019017385
836,0.016029176,0.017502075,0.020017281,0.017769656,0.018943207
838,0.015967963,0.017434469,0.019939121,0.017700883,0.018869351
840,0.015907014,0.017367156,0.019861293,0.017632409,0.018795816
842,0.015846329,0.017300135,0.019783797,0.017564232,0.0187226
844,0.015785905,0.017233405,0.019706629,0.01749635,0.018649701
846,0.015725743,0.017166965,0.01962979,0.017428764,0.018577119
